,Average User Rating,User Rating Count,Price,Developer,Age Rating,Languages,Size,Primary Genre,Genres,game_age
58,3.5,9121.0,0.0,3.75,4,7.232519398050206,5421981,4.034268849726357,121.66824415419111,510
59,4.5,17056.0,0.99,4.235294117647059,4,7.232519398050206,55803904,4.034268849726357,124.40702874228501,1981
60,2.5,17045.0,0.0,2.5,4,7.232519398050206,7543757,4.034268849726357,144.21633300568496,53
61,3.5,42210.0,0.0,3.75,4,7.232519398050206,16556848,4.034268849726357,124.64153943461565,710
62,2.5,1156.0,0.0,2.5,4,7.232519398050206,6122222,4.034268849726357,124.64153943461565,0
63,2.5,20234.0,0.0,2.5,12,7.232519398050206,4528173,4.034268849726357,124.71013351198565,7
64,3.5,7.0,0.99,3.510407077835737,4,7.232519398050206,3824640,4.034268849726357,125.10438530348273,2772
65,3.5,125.0,2.99,3.8333333333333335,4,7.232519398050206,98282496,4.034268849726357,118.06467370759196,3204
66,2.5,359.0,5.99,3.5,4,7.232519398050206,33982464,4.034268849726357,118.43837124168749,3584
67,3.0,6.0,0.99,3.510407077835737,4,7.232519398050206,3134464,4.034268849726357,125.10438530348273,2762
68,4.0,101209.0,0.0,4.235294117647059,4,7.232519398050206,58343424,4.034268849726357,124.40702874228501,1960
69,4.03122123350721,3581.406259588831,0.99,3.510407077835737,4,7.232519398050206,2974720,4.034268849726357,125.10438530348273,2760
70,3.0,4885.0,3.99,3.5625,9,7.232519398050206,59016192,4.034268849726357,72.61289717651596,3744
71,2.0,84.0,2.99,3.515610616753605,4,7.232519398050206,6466560,4.034268849726357,124.64153943461565,3514
72,3.5,13.0,2.99,3.515610616753605,4,7.232519398050206,4922368,4.034268849726357,124.64153943461565,3514
73,3.5,27.0,2.99,3.75,17,20.441719993846203,20957184,4.034268849726357,72.61289717651596,3426
74,3.5,29495.0,0.0,3.75,9,60.313681775517566,39453539,4.034268849726357,124.64153943461565,703
75,2.5,5462.0,0.0,2.75,9,7.232519398050206,14125056,4.034268849726357,134.6707781592533,3137
76,3.5,19.0,0.0,3.5,4,7.232519398050206,4472832,4.034268849726357,124.64153943461565,1943
77,3.5,860.0,0.0,3.25,9,7.232519398050206,84364288,4.034268849726357,124.40702874228501,2553
78,4.5,35199.0,2.99,4.166666666666667,4,60.313681775517566,500501504,4.034268849726357,124.40702874228501,3078
79,3.0,5013.0,0.0,3.25,9,7.232519398050206,54787072,4.034268849726357,124.40702874228501,2553
80,3.5,1119.0,2.99,3.5967248206432005,4,7.232519398050206,8881152,4.034268849726357,124.64153943461565,3064
81,3.5,2606.0,4.99,3.5625,9,7.232519398050206,107105280,4.034268849726357,72.61289717651596,3185
82,4.5,863.0,3.99,4.333333333333333,4,20.569957945514595,33033216,4.034268849726357,108.11000382818523,2760
83,3.0,1926.0,0.0,3.8333333333333335,4,7.232519398050206,108253184,4.034268849726357,118.06467370759196,3177
84,2.5,1848.0,0.0,3.5,4,20.601663034546952,1326164,4.034268849726357,72.61289717651596,634
85,3.0,24821.0,0.0,3.5967248206432005,4,7.232519398050206,14717952,4.034268849726357,124.64153943461565,3064
86,3.5,2503.0,0.0,3.0,4,7.232519398050206,2582857,4.034268849726357,121.66824415419111,478
87,4.0,16693.0,0.99,4.294117647058823,4,7.232519398050206,5500291,4.034268849726357,75.5861924569405,1029
88,3.5,191081.0,0.0,4.0,4,7.232519398050206,65303552,4.034268849726357,121.66824415419111,3357
89,4.0,2767.0,1.99,4.0,4,7.232519398050206,30746624,4.034268849726357,121.66824415419111,3080
90,3.5,14073.0,0.0,4.2,9,166.47554098423905,115074048,4.034268849726357,144.21633300568496,3753
91,4.5,5543.0,4.99,4.25,9,7.232519398050206,39997440,4.034268849726357,124.91045288356918,2695
92,3.0,12659.0,0.99,3.375,4,7.232519398050206,10308608,4.034268849726357,75.35168176460985,3004
93,4.0,90386.0,0.0,4.25,9,7.232519398050206,43073536,4.034268849726357,124.91045288356918,2695
94,3.0,40.0,0.0,3.0,4,7.232519398050206,2004992,4.034268849726357,72.61289717651596,3089
95,2.0,353.0,0.0,2.1666666666666665,4,7.232519398050206,2818386,4.034268849726357,76.04903832580754,0
96,2.5,47.0,0.0,2.5,4,7.232519398050206,6994639,4.034268849726357,49.77821939833832,66
97,3.0,866.0,0.0,3.0,4,20.569957945514595,10136576,4.034268849726357,121.66824415419111,2458
98,3.5,3416.0,0.0,3.857142857142857,4,7.232519398050206,8646161,4.034268849726357,144.21633300568493,1294
